period,respondent,respondent-name,fueltype,type-name,value,value-units,total
2021-12-27T23,CAL,California,WND,Wind,3522,megawatthours,24150
2021-12-27T22,CAL,California,SUN,Solar,4829,megawatthours,24741
2021-12-27T22,CAL,California,WND,Wind,3874,megawatthours,24741
2021-12-27T21,CAL,California,SUN,Solar,6084,megawatthours,25214
2021-12-27T21,CAL,California,WND,Wind,3871,megawatthours,25214
2021-12-27T20,CAL,California,SUN,Solar,6474,megawatthours,25538
2021-12-27T20,CAL,California,WND,Wind,3209,megawatthours,25538
2021-12-27T19,CAL,California,SUN,Solar,5547,megawatthours,24160
2021-12-27T19,CAL,California,WND,Wind,2667,megawatthours,24160
2021-12-27T18,CAL,California,SUN,Solar,5627,megawatthours,24204
2021-12-27T18,CAL,California,WND,Wind,2484,megawatthours,24204
2021-12-27T17,CAL,California,SUN,Solar,3695,megawatthours,24232
2021-12-27T17,CAL,California,WND,Wind,2679,megawatthours,24232
2021-12-27T16,CAL,California,SUN,Solar,2109,megawatthours,22689
2021-12-27T16,CAL,California,WND,Wind,2496,megawatthours,22689
2021-12-27T15,CAL,California,SUN,Solar,32,megawatthours,20992
2021-12-27T15,CAL,California,WND,Wind,2943,megawatthours,20992
2021-12-27T14,CAL,California,SUN,Solar,-36,megawatthours,18830
2021-12-27T14,CAL,California,WND,Wind,2825,megawatthours,18830
2021-12-27T13,CAL,California,SUN,Solar,-35,megawatthours,17499
2021-12-27T13,CAL,California,WND,Wind,2968,megawatthours,17499
2021-12-27T12,CAL,California,SUN,Solar,-36,megawatthours,16433
2021-12-27T12,CAL,California,WND,Wind,2824,megawatthours,16433
2021-12-27T11,CAL,California,SUN,Solar,-35,megawatthours,16247
2021-12-27T11,CAL,California,WND,Wind,2822,megawatthours,16247
2021-12-27T10,CAL,California,SUN,Solar,-34,megawatthours,16069
2021-12-27T10,CAL,California,WND,Wind,2905,megawatthours,16069
2021-12-27T09,CAL,California,SUN,Solar,-34,megawatthours,16852
2021-12-27T09,CAL,California,WND,Wind,3023,megawatthours,16852
2021-12-27T08,CAL,California,SUN,Solar,-35,megawatthours,17811
2021-12-27T08,CAL,California,WND,Wind,3232,megawatthours,17811
2021-12-27T07,CAL,California,SUN,Solar,-35,megawatthours,19336
2021-12-27T07,CAL,California,WND,Wind,3383,megawatthours,19336
2021-12-27T06,CAL,California,SUN,Solar,-35,megawatthours,20804
2021-12-27T06,CAL,California,WND,Wind,3299,megawatthours,20804
2021-12-27T05,CAL,California,SUN,Solar,-35,megawatthours,22010
2021-12-27T05,CAL,California,WND,Wind,3460,megawatthours,22010
2021-12-27T04,CAL,California,SUN,Solar,-35,megawatthours,22505
2021-12-27T04,CAL,California,WND,Wind,3835,megawatthours,22505
2021-12-27T03,CAL,California,SUN,Solar,-35,megawatthours,22449
2021-12-27T03,CAL,California,WND,Wind,3746,megawatthours,22449
2021-12-27T02,CAL,California,SUN,Solar,-37,megawatthours,22281
2021-12-27T02,CAL,California,WND,Wind,2997,megawatthours,22281
2021-12-27T01,CAL,California,SUN,Solar,-16,megawatthours,20732
2021-12-27T01,CAL,California,WND,Wind,2801,megawatthours,20732
2021-12-27T00,CAL,California,SUN,Solar,2133,megawatthours,18881
2021-12-27T00,CAL,California,WND,Wind,2999,megawatthours,18881
2021-12-26T23,CAL,California,SUN,Solar,5946,megawatthours,19618
2021-12-26T23,CAL,California,WND,Wind,3032,megawatthours,19618
2021-12-26T22,CAL,California,SUN,Solar,7212,megawatthours,19924
2021-12-26T22,CAL,California,WND,Wind,3211,megawatthours,19924
2021-12-26T21,CAL,California,SUN,Solar,7507,megawatthours,19534
2021-12-26T21,CAL,California,WND,Wind,3059,megawatthours,19534
2021-12-26T20,CAL,California,SUN,Solar,8174,megawatthours,19705
2021-12-26T20,CAL,California,WND,Wind,3029,megawatthours,19705
2021-12-26T19,CAL,California,SUN,Solar,8269,megawatthours,20134
2021-12-26T19,CAL,California,WND,Wind,3498,megawatthours,20134
2021-12-26T18,CAL,California,SUN,Solar,9132,megawatthours,20710
2021-12-26T18,CAL,California,WND,Wind,2971,megawatthours,20710
2021-12-26T17,CAL,California,SUN,Solar,8042,megawatthours,20367
2021-12-26T17,CAL,California,WND,Wind,2989,megawatthours,20367
2021-12-26T16,CAL,California,SUN,Solar,4243,megawatthours,18109
2021-12-26T16,CAL,California,WND,Wind,2963,megawatthours,18109
2021-12-26T15,CAL,California,SUN,Solar,73,megawatthours,16610
2021-12-26T15,CAL,California,WND,Wind,3557,megawatthours,16610
2021-12-26T14,CAL,California,SUN,Solar,-37,megawatthours,15561
2021-12-26T14,CAL,California,WND,Wind,3457,megawatthours,15561
2021-12-26T13,CAL,California,SUN,Solar,-37,megawatthours,14503
2021-12-26T13,CAL,California,WND,Wind,3247,megawatthours,14503
2021-12-26T12,CAL,California,SUN,Solar,-37,megawatthours,13966
2021-12-26T12,CAL,California,WND,Wind,3207,megawatthours,13966
2021-12-26T11,CAL,California,SUN,Solar,-36,megawatthours,14737
2021-12-26T11,CAL,California,WND,Wind,3590,megawatthours,14737
2021-12-26T10,CAL,California,SUN,Solar,-34,megawatthours,14851
2021-12-26T10,CAL,California,WND,Wind,3706,megawatthours,14851
2021-12-26T09,CAL,California,SUN,Solar,-34,megawatthours,15622
2021-12-26T09,CAL,California,WND,Wind,3630,megawatthours,15622
2021-12-26T08,CAL,California,SUN,Solar,-34,megawatthours,16729
2021-12-26T08,CAL,California,WND,Wind,3442,megawatthours,16729
2021-12-26T07,CAL,California,SUN,Solar,-35,megawatthours,17223
2021-12-26T07,CAL,California,WND,Wind,2989,megawatthours,17223
2021-12-26T06,CAL,California,SUN,Solar,-34,megawatthours,18369
2021-12-26T06,CAL,California,WND,Wind,2995,megawatthours,18369
2021-12-26T05,CAL,California,SUN,Solar,-34,megawatthours,19674
2021-12-26T05,CAL,California,WND,Wind,3266,megawatthours,19674
2021-12-26T04,CAL,California,SUN,Solar,-34,megawatthours,19789
2021-12-26T04,CAL,California,WND,Wind,2984,megawatthours,19789
2021-12-26T03,CAL,California,SUN,Solar,-34,megawatthours,20158
2021-12-26T03,CAL,California,WND,Wind,2982,megawatthours,20158
2021-12-26T02,CAL,California,SUN,Solar,-33,megawatthours,20494
2021-12-26T02,CAL,California,WND,Wind,2691,megawatthours,20494
2021-12-26T01,CAL,California,SUN,Solar,242,megawatthours,20893
2021-12-26T01,CAL,California,WND,Wind,2571,megawatthours,20893
2021-12-26T00,CAL,California,SUN,Solar,1206,megawatthours,20074
2021-12-26T00,CAL,California,WND,Wind,2735,megawatthours,20074
2021-12-25T23,CAL,California,SUN,Solar,3974,megawatthours,19812
2021-12-25T23,CAL,California,WND,Wind,2721,megawatthours,19812
2021-12-25T22,CAL,California,SUN,Solar,5925,megawatthours,20320
2021-12-25T22,CAL,California,WND,Wind,2531,megawatthours,20320
2021-12-25T21,CAL,California,SUN,Solar,7269,megawatthours,21384
2021-12-25T21,CAL,California,WND,Wind,2676,megawatthours,21384
2021-12-25T20,CAL,California,SUN,Solar,7869,megawatthours,21673
2021-12-25T20,CAL,California,WND,Wind,2714,megawatthours,21673
2021-12-25T19,CAL,California,SUN,Solar,8417,megawatthours,21840
2021-12-25T19,CAL,California,WND,Wind,2560,megawatthours,21840
2021-12-25T18,CAL,California,SUN,Solar,7959,megawatthours,21687
2021-12-25T18,CAL,California,WND,Wind,2363,megawatthours,21687
2021-12-25T17,CAL,California,SUN,Solar,6118,megawatthours,20297
2021-12-25T17,CAL,California,WND,Wind,2459,megawatthours,20297
2021-12-25T16,CAL,California,SUN,Solar,3143,megawatthours,17887
2021-12-25T16,CAL,California,WND,Wind,2547,megawatthours,17887
2021-12-25T15,CAL,California,SUN,Solar,26,megawatthours,15390
2021-12-25T15,CAL,California,WND,Wind,2259,megawatthours,15390
2021-12-25T14,CAL,California,SUN,Solar,-45,megawatthours,14435
2021-12-25T14,CAL,California,WND,Wind,2404,megawatthours,14435
2021-12-25T13,CAL,California,SUN,Solar,-44,megawatthours,13943
2021-12-25T13,CAL,California,WND,Wind,2472,megawatthours,13943
2021-12-25T12,CAL,California,SUN,Solar,-45,megawatthours,13946
2021-12-25T12,CAL,California,WND,Wind,2390,megawatthours,13946
2021-12-25T11,CAL,California,SUN,Solar,-43,megawatthours,14132
2021-12-25T11,CAL,California,WND,Wind,2446,megawatthours,14132
2021-12-25T10,CAL,California,SUN,Solar,-42,megawatthours,14522
2021-12-25T10,CAL,California,WND,Wind,2819,megawatthours,14522
2021-12-25T09,CAL,California,SUN,Solar,-41,megawatthours,15521
2021-12-25T09,CAL,California,WND,Wind,3046,megawatthours,15521
2021-12-25T08,CAL,California,SUN,Solar,-41,megawatthours,16220
2021-12-25T08,CAL,California,WND,Wind,3058,megawatthours,16220
2021-12-25T07,CAL,California,SUN,Solar,-42,megawatthours,16710
2021-12-25T07,CAL,California,WND,Wind,3100,megawatthours,16710
2021-12-25T06,CAL,California,SUN,Solar,-41,megawatthours,17326
2021-12-25T06,CAL,California,WND,Wind,2674,megawatthours,17326
2021-12-25T05,CAL,California,SUN,Solar,-42,megawatthours,17517
2021-12-25T05,CAL,California,WND,Wind,2514,megawatthours,17517
2021-12-25T04,CAL,California,SUN,Solar,-42,megawatthours,17721
2021-12-25T04,CAL,California,WND,Wind,2541,megawatthours,17721
2021-12-25T03,CAL,California,SUN,Solar,-34,megawatthours,17605
2021-12-25T03,CAL,California,WND,Wind,2526,megawatthours,17605
2021-12-25T02,CAL,California,SUN,Solar,-36,megawatthours,18693
2021-12-25T02,CAL,California,WND,Wind,2680,megawatthours,18693
2021-12-25T01,CAL,California,SUN,Solar,-18,megawatthours,18378
2021-12-25T01,CAL,California,WND,Wind,2625,megawatthours,18378
2021-12-25T00,CAL,California,SUN,Solar,1676,megawatthours,18649
2021-12-25T00,CAL,California,WND,Wind,2924,megawatthours,18649
2021-12-24T23,CAL,California,SUN,Solar,5368,megawatthours,20737
2021-12-24T23,CAL,California,WND,Wind,3253,megawatthours,20737
2021-12-24T22,CAL,California,SUN,Solar,6909,megawatthours,21048
2021-12-24T22,CAL,California,WND,Wind,3145,megawatthours,21048
2021-12-24T21,CAL,California,SUN,Solar,7436,megawatthours,21281
2021-12-24T21,CAL,California,WND,Wind,2877,megawatthours,21281
2021-12-24T20,CAL,California,SUN,Solar,6912,megawatthours,20765
2021-12-24T20,CAL,California,WND,Wind,2458,megawatthours,20765
2021-12-24T19,CAL,California,SUN,Solar,7539,megawatthours,21142
2021-12-24T19,CAL,California,WND,Wind,2474,megawatthours,21142
2021-12-24T18,CAL,California,SUN,Solar,6427,megawatthours,20417
2021-12-24T18,CAL,California,WND,Wind,2057,megawatthours,20417
2021-12-24T17,CAL,California,SUN,Solar,5280,megawatthours,20088
2021-12-24T17,CAL,California,WND,Wind,2096,megawatthours,20088
2021-12-24T16,CAL,California,SUN,Solar,998,megawatthours,16252
2021-12-24T16,CAL,California,WND,Wind,1697,megawatthours,16252
2021-12-24T15,CAL,California,SUN,Solar,-30,megawatthours,14914
2021-12-24T15,CAL,California,WND,Wind,2104,megawatthours,14914
2021-12-24T14,CAL,California,SUN,Solar,-46,megawatthours,14141
2021-12-24T14,CAL,California,WND,Wind,2032,megawatthours,14141
2021-12-24T13,CAL,California,SUN,Solar,-47,megawatthours,13703
2021-12-24T13,CAL,California,WND,Wind,1715,megawatthours,13703
2021-12-24T12,CAL,California,SUN,Solar,-48,megawatthours,14021
2021-12-24T12,CAL,California,WND,Wind,1992,megawatthours,14021
2021-12-24T11,CAL,California,SUN,Solar,-45,megawatthours,13639
2021-12-24T11,CAL,California,WND,Wind,1487,megawatthours,13639
2021-12-24T10,CAL,California,SUN,Solar,-44,megawatthours,13982
2021-12-24T10,CAL,California,WND,Wind,1697,megawatthours,13982
2021-12-24T09,CAL,California,SUN,Solar,-44,megawatthours,14531
2021-12-24T09,CAL,California,WND,Wind,1719,megawatthours,14531
2021-12-24T08,CAL,California,SUN,Solar,-44,megawatthours,15615
2021-12-24T08,CAL,California,WND,Wind,1960,megawatthours,15615
2021-12-24T07,CAL,California,SUN,Solar,-44,megawatthours,16940
2021-12-24T07,CAL,California,WND,Wind,2136,megawatthours,16940
2021-12-24T06,CAL,California,SUN,Solar,-44,megawatthours,17845
2021-12-24T06,CAL,California,WND,Wind,2433,megawatthours,17845
2021-12-24T05,CAL,California,SUN,Solar,-44,megawatthours,20118
2021-12-24T05,CAL,California,WND,Wind,2706,megawatthours,20118
2021-12-24T04,CAL,California,SUN,Solar,-44,megawatthours,20504
2021-12-24T04,CAL,California,WND,Wind,2515,megawatthours,20504
2021-12-24T03,CAL,California,SUN,Solar,-44,megawatthours,20847
2021-12-24T03,CAL,California,WND,Wind,2394,megawatthours,20847
2021-12-24T02,CAL,California,SUN,Solar,-45,megawatthours,21239
2021-12-24T02,CAL,California,WND,Wind,2245,megawatthours,21239
2021-12-24T01,CAL,California,SUN,Solar,-38,megawatthours,20759
2021-12-24T01,CAL,California,WND,Wind,2301,megawatthours,20759
2021-12-24T00,CAL,California,SUN,Solar,313,megawatthours,19675
2021-12-24T00,CAL,California,WND,Wind,2558,megawatthours,19675
2021-12-23T23,CAL,California,SUN,Solar,1095,megawatthours,19992
